1995-01-01,SPLSYSHP  UNDER 16.5 BTU,330
1995-01-01,SPLSYSHP  16.5-21.9 BTUH,8144
1995-01-01,SPLSYSHP  22.0-26.9 BTUH,15150
1995-01-01,SPLSYSHP  27.0-32.9 BTUH,13989
1995-01-01,SPLSYSHP  33.0-38.9 BTUH,13279
1995-01-01,SPLSYSHP  39.0-43.9 BTUH,5808
1995-01-01,SPLSYSHP  44.0-53.9 BTUH,5368
1995-01-01,SPLSYSHP  54.0-64.9 BTUH,4111
1995-01-01,SPLITSYS  UNDER 16.5 BTU,816
1995-01-01,SPLITSYS  16.5-21.9 BTUH,14075
1995-01-01,SPLITSYS  22.0-26.9 BTUH,41142
1995-01-01,SPLITSYS  27.0-32.9 BTUH,39450
1995-01-01,SPLITSYS  33.0-38.9 BTUH,45447
1995-01-01,SPLITSYS  39.0-43.9 BTUH,19004
1995-01-01,SPLITSYS  44.0-53.9 BTUH,19761
1995-01-01,SPLITSYS  54.0-64.9 BTUH,16195
1995-02-01,SPLSYSHP  UNDER 16.5 BTU,806
1995-02-01,SPLSYSHP  16.5-21.9 BTUH,15394
1995-02-01,SPLSYSHP  22.0-26.9 BTUH,30847
1995-02-01,SPLSYSHP  27.0-32.9 BTUH,28515
1995-02-01,SPLSYSHP  33.0-38.9 BTUH,28087
1995-02-01,SPLSYSHP  39.0-43.9 BTUH,12658
1995-02-01,SPLSYSHP  44.0-53.9 BTUH,11542
1995-02-01,SPLSYSHP  54.0-64.9 BTUH,8448
1995-02-01,SPLITSYS  UNDER 16.5 BTU,1993
1995-02-01,SPLITSYS  16.5-21.9 BTUH,33721
1995-02-01,SPLITSYS  22.0-26.9 BTUH,98444
1995-02-01,SPLITSYS  27.0-32.9 BTUH,95239
1995-02-01,SPLITSYS  33.0-38.9 BTUH,107262
1995-02-01,SPLITSYS  39.0-43.9 BTUH,44700
1995-02-01,SPLITSYS  44.0-53.9 BTUH,46832
1995-02-01,SPLITSYS  54.0-64.9 BTUH,35928
1995-03-01,SPLSYSHP  UNDER 16.5 BTU,1679
1995-03-01,SPLSYSHP  16.5-21.9 BTUH,23646
1995-03-01,SPLSYSHP  22.0-26.9 BTUH,49220
1995-03-01,SPLSYSHP  27.0-32.9 BTUH,47319
1995-03-01,SPLSYSHP  33.0-38.9 BTUH,46022
1995-03-01,SPLSYSHP  39.0-43.9 BTUH,20439
1995-03-01,SPLSYSHP  44.0-53.9 BTUH,17739
1995-03-01,SPLSYSHP  54.0-64.9 BTUH,13125
1995-03-01,SPLITSYS  UNDER 16.5 BTU,3506
1995-03-01,SPLITSYS  16.5-21.9 BTUH,60132
1995-03-01,SPLITSYS  22.0-26.9 BTUH,181411
1995-03-01,SPLITSYS  27.0-32.9 BTUH,177245
1995-03-01,SPLITSYS  33.0-38.9 BTUH,190646
1995-03-01,SPLITSYS  39.0-43.9 BTUH,77636
1995-03-01,SPLITSYS  44.0-53.9 BTUH,85462
1995-03-01,SPLITSYS  54.0-64.9 BTUH,63619
1995-04-01,SPLSYSHP  UNDER 16.5 BTU,2233
1995-04-01,SPLSYSHP  16.5-21.9 BTUH,30831
1995-04-01,SPLSYSHP  22.0-26.9 BTUH,66482
1995-04-01,SPLSYSHP  27.0-32.9 BTUH,62981
1995-04-01,SPLSYSHP  33.0-38.9 BTUH,61238
1995-04-01,SPLSYSHP  39.0-43.9 BTUH,26832
1995-04-01,SPLSYSHP  44.0-53.9 BTUH,23697
1995-04-01,SPLSYSHP  54.0-64.9 BTUH,17791
1995-04-01,SPLITSYS  UNDER 16.5 BTU,5701
1995-04-01,SPLITSYS  16.5-21.9 BTUH,82314
1995-04-01,SPLITSYS  22.0-26.9 BTUH,252349
1995-04-01,SPLITSYS  27.0-32.9 BTUH,243479
1995-04-01,SPLITSYS  33.0-38.9 BTUH,258965
1995-04-01,SPLITSYS  39.0-43.9 BTUH,107147
1995-04-01,SPLITSYS  44.0-53.9 BTUH,117384
1995-04-01,SPLITSYS  54.0-64.9 BTUH,88737
1995-05-01,SPLSYSHP  UNDER 16.5 BTU,2971
